09/12/2025 16:29:42.780 | REQUEST | Origem=2
09/12/2025 16:29:42.791 | REQUEST | Origem=3
09/12/2025 16:29:42.793 | REQUEST | Origem=0
09/12/2025 16:29:42.795 | REQUEST | Origem=4
09/12/2025 16:29:42.797 | REQUEST | Origem=1
09/12/2025 16:29:42.805 | GRANT | Destino=2
09/12/2025 16:29:45.375 | RELEASE | Origem=2
09/12/2025 16:29:45.378 | REQUEST | Origem=2
09/12/2025 16:29:45.380 | GRANT | Destino=1
09/12/2025 16:29:47.885 | RELEASE | Origem=1
09/12/2025 16:29:47.887 | REQUEST | Origem=1
09/12/2025 16:29:47.889 | GRANT | Destino=4
09/12/2025 16:29:50.394 | RELEASE | Origem=4
09/12/2025 16:29:50.396 | REQUEST | Origem=4
09/12/2025 16:29:50.398 | GRANT | Destino=0
09/12/2025 16:29:52.899 | RELEASE | Origem=0
09/12/2025 16:29:52.902 | REQUEST | Origem=0
09/12/2025 16:29:52.904 | GRANT | Destino=3
09/12/2025 16:29:55.406 | RELEASE | Origem=3
09/12/2025 16:29:55.408 | REQUEST | Origem=3
09/12/2025 16:29:55.410 | GRANT | Destino=2
09/12/2025 16:29:57.914 | RELEASE | Origem=2
09/12/2025 16:29:57.916 | REQUEST | Origem=2
09/12/2025 16:29:57.918 | GRANT | Destino=1
09/12/2025 16:30:00.421 | RELEASE | Origem=1
09/12/2025 16:30:00.423 | REQUEST | Origem=1
09/12/2025 16:30:00.425 | GRANT | Destino=4
09/12/2025 16:30:02.928 | RELEASE | Origem=4
09/12/2025 16:30:02.929 | REQUEST | Origem=4
09/12/2025 16:30:02.931 | GRANT | Destino=0
09/12/2025 16:30:05.445 | RELEASE | Origem=0
09/12/2025 16:30:05.447 | REQUEST | Origem=0
09/12/2025 16:30:05.448 | GRANT | Destino=3
09/12/2025 16:30:07.952 | RELEASE | Origem=3
09/12/2025 16:30:07.954 | REQUEST | Origem=3
09/12/2025 16:30:07.956 | GRANT | Destino=2
09/12/2025 16:30:10.467 | RELEASE | Origem=2
09/12/2025 16:30:10.468 | REQUEST | Origem=2
09/12/2025 16:30:10.469 | GRANT | Destino=1
09/12/2025 16:30:12.971 | RELEASE | Origem=1
09/12/2025 16:30:12.973 | REQUEST | Origem=1
09/12/2025 16:30:12.975 | GRANT | Destino=4
09/12/2025 16:30:15.477 | RELEASE | Origem=4
09/12/2025 16:30:15.481 | REQUEST | Origem=4
09/12/2025 16:30:15.483 | GRANT | Destino=0
09/12/2025 16:30:17.985 | RELEASE | Origem=0
09/12/2025 16:30:17.987 | REQUEST | Origem=0
09/12/2025 16:30:17.989 | GRANT | Destino=3
09/12/2025 16:30:20.490 | RELEASE | Origem=3
09/12/2025 16:30:20.492 | REQUEST | Origem=3
09/12/2025 16:30:20.493 | GRANT | Destino=2
09/12/2025 16:30:22.996 | RELEASE | Origem=2
09/12/2025 16:30:22.999 | REQUEST | Origem=2
09/12/2025 16:30:23.001 | GRANT | Destino=1
09/12/2025 16:30:25.505 | RELEASE | Origem=1
09/12/2025 16:30:25.507 | REQUEST | Origem=1
09/12/2025 16:30:25.509 | GRANT | Destino=4
09/12/2025 16:30:28.011 | RELEASE | Origem=4
09/12/2025 16:30:28.013 | REQUEST | Origem=4
09/12/2025 16:30:28.015 | GRANT | Destino=0
09/12/2025 16:30:30.517 | RELEASE | Origem=0
09/12/2025 16:30:30.518 | REQUEST | Origem=0
09/12/2025 16:30:30.520 | GRANT | Destino=3
09/12/2025 16:30:33.022 | RELEASE | Origem=3
09/12/2025 16:30:33.025 | REQUEST | Origem=3
09/12/2025 16:30:33.027 | GRANT | Destino=2
09/12/2025 16:30:35.527 | RELEASE | Origem=2
09/12/2025 16:30:35.530 | GRANT | Destino=1
09/12/2025 16:30:38.036 | RELEASE | Origem=1
09/12/2025 16:30:38.039 | GRANT | Destino=4
09/12/2025 16:30:40.542 | RELEASE | Origem=4
09/12/2025 16:30:40.545 | GRANT | Destino=0
09/12/2025 16:30:43.049 | RELEASE | Origem=0
09/12/2025 16:30:43.052 | GRANT | Destino=3
09/12/2025 16:30:45.556 | RELEASE | Origem=3
